Inst. peticion: 24.004978696449086 | T. servicio: 0.08383550472379614 | Estado: true
Inst. peticion: 24.324064538622334 | T. servicio: 0.47564421845233623 | Estado: true
Inst. peticion: 24.661643315939635 | T. servicio: 0.39783344042673247 | Estado: true
Inst. peticion: 25.092527032613088 | T. servicio: 0.08924053367667947 | Estado: true
Inst. peticion: 25.333709329582693 | T. servicio: 0.4047147717681807 | Estado: true
Inst. peticion: 25.663975391695974 | T. servicio: 0.29445378774272607 | Estado: true
Inst. peticion: 26.151927163039023 | T. servicio: 0.06630404756665736 | Estado: true
Inst. peticion: 26.363315530283376 | T. servicio: 0.27359268338192594 | Estado: true
Inst. peticion: 26.415360760154638 | T. servicio: 0.11575845012149907 | Estado: true
Inst. peticion: 26.676578024905513 | T. servicio: 0.4213806556791844 | Estado: true
Inst. peticion: 26.867981300421178 | T. servicio: 0.26223715816739934 | Estado: true
Inst. peticion: 27.071939126634984 | T. servicio: 0.14831119442035573 | Estado: true
Inst. peticion: 27.258664693508965 | T. servicio: 0.28867634114789 | Estado: true
Inst. peticion: 27.62669315726867 | T. servicio: 0.24887334502952002 | Estado: true
Inst. peticion: 27.851448208523017 | T. servicio: 0.3268531822210163 | Estado: true
Inst. peticion: 28.189728740592994 | T. servicio: 0.4420735310648703 | Estado: true
Inst. peticion: 28.34926049610323 | T. servicio: 0.2331520251995885 | Estado: true
Inst. peticion: 28.733661442258196 | T. servicio: 0.16293527368643207 | Estado: true
Inst. peticion: 28.90030276795982 | T. servicio: 0.27580978461837835 | Estado: true
Inst. peticion: 29.221484321910232 | T. servicio: 0.410805014330441 | Estado: true
Inst. peticion: 29.562400384184958 | T. servicio: 0.4486683933289012 | Estado: true
Inst. peticion: 30.03506399913425 | T. servicio: 0.34689840119692 | Estado: true
Inst. peticion: 30.246934506612515 | T. servicio: 0.3695119593287073 | Estado: true
